Days,Tag,Video,VideoLength,Timelapse or Video,TimeofBite,FishCount,Length,AgePhase,Fish,Coral Code,Coral,Genotype,InteractionType,Predation,Bites,Notes,VideoLength_seconds,video_duration_seconds
0,B086,GX10002,05:06:00,Timelapse,1:15,A,15,Initial,Sparisoma aurofrenatum,NA,Montastraea cavernosa,MCAV07,Bite,Y,1,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,1:30,A,15,Initial,Sparisoma aurofrenatum,NA,Pseudodiploria strigosa,PSTR01,Bite,Y,1,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,1:45,B,20,Initial,Sparisoma aurofrenatum,NA,Orbicella faveolata,OFAV01,Bite,Y,1,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,1:49,B,20,Initial,Sparisoma aurofrenatum,NA,Porites astreoides,PAST06,Bite,Y,1,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,1:51,B,20,Initial,Sparisoma aurofrenatum,NA,Pseudodiploria clivosa,PCLI04,Bite,Y,2,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,2:09,B,20,Initial,Sparisoma aurofrenatum,NA,Diploria labyrinthiformis,DLAB02,Bite,Y,1,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,2:22,B,20,Initial,Sparisoma aurofrenatum,NA,Orbicella faveolata,OFAV05,Bite,Y,2,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,2:26,B,20,Initial,Sparisoma aurofrenatum,NA,Pseudodiploria strigosa,PSTR01,Bite,Y,1,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,2:30,B,20,Initial,Sparisoma aurofrenatum,NA,Pseudodiploria clivosa,PCLI01,Bite,Y,1,NA,306,4590
0,B086,GX10002,05:06:00,Timelapse,2:34,C,18,Initial,Sparisoma aurofrenatum,NA,Montastraea cavernosa,MCAV07,Bite,Y,4,NA,306,4590
